region,date_witness,date_agent,witness,agent,latitude,longitude,city,country,city_agent,has_weapon,has_hat,has_jacket,behavior
America,23/07/2007,24/08/2007,Cynthia Howell,Kathleen Munoz,8.35122,-62.64102,Ciudad Guayana,VE,Caracas,FALSE,TRUE,TRUE,fleeing
America,17/12/1998,22/12/1998,Travis Austin,Jennifer Swanson,33.54428,-84.23381,Stockbridge,US,New York,TRUE,TRUE,TRUE,tense
America,22/01/2015,11/02/2015,David Erickson,Eric Roberts,46.1351,-60.1831,Sydney,CA,Glace Bay,FALSE,TRUE,TRUE,injured
America,7/12/2011,2/02/2012,Andrew Ramirez,Grant Humphrey,14.67751,-60.94228,Le Robert,MQ,Martinique,FALSE,TRUE,TRUE,friendly
America,30/01/2010,15/02/2010,Abigail Andrews,Paul Rogers,42.4251,-71.06616,Malden,US,New York,FALSE,FALSE,TRUE,scared
America,16/09/2008,23/09/2008,Andrea Myers,Austin Williams,20.28527,-103.42897,Jocotepec,MX,Mexico City,FALSE,FALSE,TRUE,complaining
America,8/07/1991,26/07/1991,William Rodriguez,Kelly Lindsey,8.79577,-75.69947,San Carlos,CO,Bogota,FALSE,FALSE,FALSE,hostile
America,23/05/2002,17/07/2002,Dr. Robert Kirk,Kim Dyer,-19.32556,-41.25528,Resplendor,BR,Sao Paulo,FALSE,TRUE,TRUE,injured
America,12/12/2015,29/12/2015,Aaron Lee,Elizabeth Cook,32.5007,-94.74049,Longview,US,Chicago,FALSE,FALSE,TRUE,panicking
America,10/02/2003,9/04/2003,Michael Weaver,Nancy White,33.95015,-118.03917,South Whittier,US,Los Angeles,FALSE,TRUE,TRUE,out-of-control
America,19/03/2018,7/05/2018,Kevin Terry,Stephen Ferguson,39.96097,-75.60804,West Chester,US,New York,FALSE,FALSE,TRUE,unhappy
America,9/08/2003,16/08/2003,Linda Fox,Ronald Wong PhD,10.98778,-74.95472,Puerto Colombia,CO,Bogota,TRUE,FALSE,TRUE,confessing
America,14/05/2001,15/05/2001,Anthony Williams,Matthew Chavez,41.66394,-83.55521,Toledo,US,New York,FALSE,FALSE,TRUE,complaining
America,6/05/2019,12/06/2019,Laura Thomas,Steven Edwards,13.70167,-89.10944,Ilopango,SV,El Salvador,FALSE,TRUE,TRUE,friendly
America,12/04/2000,2/06/2000,Paul Stevenson,Grant Humphrey,10.98778,-74.95472,Puerto Colombia,CO,Bogota,FALSE,TRUE,TRUE,injured
America,10/12/1998,27/01/1999,Joshua Garrett,Marie Hill,45.16024,-93.08883,Lino Lakes,US,Chicago,FALSE,TRUE,FALSE,unhappy
