region,date_witness,date_agent,witness,agent,latitude,longitude,city,country,city_agent,has_weapon,has_hat,has_jacket,behavior
Africa,1/08/1997,16/09/1997,Eric Edwards,Gerald Green,33.92866,-6.90656,Temara,MA,Casablanca,FALSE,FALSE,TRUE,fleeing
Africa,16/04/1987,22/05/1987,Kenneth Sparks,Kimberly Gibson,-27.76952,30.79165,Vryheid,ZA,Johannesburg,FALSE,TRUE,TRUE,scared
Africa,27/07/1985,21/08/1985,Douglas Brown,Margaret Ortega,36.08497,9.37082,Siliana,TN,Tunis,FALSE,TRUE,TRUE,talkative
Africa,2/11/2007,7/11/2007,Elizabeth Webb,Edward Anderson,7.62789,4.74161,Ilesa,NG,Lagos,FALSE,FALSE,TRUE,evasive
Africa,1/11/2001,11/11/2001,David Jefferson,Matthew Brown,34.15429,3.50309,Messaad,DZ,Algiers,FALSE,TRUE,TRUE,silent
Africa,4/11/2008,29/12/2008,Michael Spears,Christina Krause,12.18441,18.69303,Mongo,TD,Ndjamena,FALSE,TRUE,TRUE,over-complimenting
Africa,21/01/2008,18/02/2008,Leah Fitzgerald,Daniel Moore,9.89206,43.38531,Baki,SO,Mogadishu,TRUE,FALSE,TRUE,fleeing
Africa,11/03/1993,23/04/1993,Courtney Cantu,Robert Baird,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,FALSE,FALSE,TRUE,out-of-control
Africa,26/03/1990,24/05/1990,Brittney Knight,Jeremy Mccullough,36.72544,3.55665,Thenia,DZ,Algiers,FALSE,TRUE,TRUE,confessing
Africa,18/05/1990,4/06/1990,Christopher Cummings,Charles Mitchell,-4.83,29.65806,Mwandiga,TZ,Dar es Salaam,FALSE,TRUE,FALSE,tense
Africa,6/09/2008,23/10/2008,Thomas Brown,Thomas Hamilton,-6.8,39.25,Magomeni,TZ,Dar es Salaam,FALSE,TRUE,TRUE,out-of-control
Africa,14/01/1991,24/02/1991,April Sampson,Kevin Contreras,7.57944,-8.53778,New Yekepa,LR,Monrovia,FALSE,TRUE,TRUE,complaining
Africa,21/10/2010,30/10/2010,Darlene West,Jeffery Blair,36.06386,4.62744,El Achir,DZ,Algiers,FALSE,FALSE,TRUE,tense
Africa,8/12/2010,22/01/2011,James Greene,Stephen Ferguson,33.43443,-5.22126,Azrou,MA,Casablanca,FALSE,TRUE,FALSE,out-of-control
Africa,10/07/1992,4/08/1992,Casey Chapman,Timothy Davis,-1.9487,30.4347,Rwamagana,RW,Kigali,FALSE,FALSE,TRUE,sad
Africa,20/02/2013,21/03/2013,Jaime Ford,Darrell Crawford,-26.93366,29.24152,Standerton,ZA,Johannesburg,TRUE,TRUE,TRUE,friendly
Africa,6/09/2020,23/09/2020,Sharon Figueroa,Alexis Conway PhD,-11.78333,19.91667,Luena,AO,Luanda,FALSE,TRUE,TRUE,unhappy
Africa,22/10/2018,19/12/2018,Michael Miller,Gordon Jimenez,12.74482,4.52514,Argungu,NG,Lagos,TRUE,TRUE,TRUE,scared
Africa,1/07/2017,23/08/2017,Jacob Rogers,Kathleen Hicks,11.8659,34.3869,Ar Ruseris,SD,Khartoum,FALSE,TRUE,TRUE,paranoid
Africa,15/01/2006,25/02/2006,Susan Davis,Beth Cuevas,7.06273,-1.4001,Mampong,GH,Accra,FALSE,FALSE,FALSE,talkative
Africa,18/06/1987,28/06/1987,Heidi Jenkins,Marie Hill,7.57944,-8.53778,New Yekepa,LR,Monrovia,FALSE,FALSE,TRUE,confessing
