region,date_witness,date_agent,witness,agent,latitude,longitude,city,country,city_agent,has_weapon,has_hat,has_jacket,behavior
Asia,27/09/1995,13/10/1995,Caleb Jones,Karen Keller MD,40.11583,67.84222,Jizzax,UZ,Samarkand,FALSE,TRUE,TRUE,tense
Asia,12/09/1996,18/09/1996,John Archer,Kelly Barnes,33.37526,74.3092,Rajaori,IN,Kolkata,FALSE,TRUE,TRUE,confessing
Asia,14/10/2005,12/12/2005,Shane Taylor,Laura Parks,14.95472,120.89694,Baliuag,PH,Manila,FALSE,FALSE,TRUE,confessing
Asia,23/12/2014,28/01/2015,Tyler Wilkins,Nicholas Powell,14.46693,75.92694,Davangere,IN,Kolkata,FALSE,TRUE,TRUE,unhappy
Asia,5/07/2003,14/07/2003,Brandon Hernandez,Mackenzie Gilbert,21.34222,71.30633,Kundla,IN,Kolkata,TRUE,TRUE,TRUE,paranoid
Asia,9/08/1988,24/09/1988,Mr. Alex Adkins,Jeremy Mason,6.84019,79.87116,Dehiwala-Mount Lavinia,LK,Colombo,FALSE,TRUE,TRUE,out-of-control
Asia,11/06/2016,14/07/2016,Brittany Mendoza,Samuel Jackson,12.37169,123.62494,Masbate,PH,Manila,FALSE,TRUE,TRUE,lonely
Asia,26/09/2003,15/11/2003,Karen Young,Tanya Conley,15.58552,102.42587,Bua Yai,TH,Bangkok,FALSE,TRUE,TRUE,injured
Asia,14/07/1990,14/07/1990,Jason Shelton,Charlene Mccormick,29.21399,78.95693,Kashipur,IN,Kolkata,FALSE,FALSE,TRUE,friendly
Asia,15/01/2014,12/02/2014,Miranda Leach,Gerald Green,36.53333,136.61667,Nonoichi,JP,Tokyo,FALSE,TRUE,TRUE,talkative
Asia,5/07/2001,20/08/2001,Lisa Harper,Stacey Morris,4.02219,101.02083,Teluk Intan,MY,Kuala Lumpur,FALSE,TRUE,TRUE,oblivious
Asia,13/01/1987,12/02/1987,Carl Green,Darrell Crawford,35.06667,135.21667,Sasayama,JP,Tokyo,FALSE,FALSE,TRUE,lonely
Asia,17/05/1989,13/06/1989,Sean Ward,Mrs. Amy Munoz PhD,31.39547,34.75699,Rahat,IL,Jerusalem,FALSE,FALSE,TRUE,sad
Asia,27/11/1985,28/11/1985,Matthew Livingston,Matthew Brown,10.31672,123.89071,Cebu City,PH,Manila,FALSE,TRUE,TRUE,oblivious
