region,date_witness,date_agent,witness,agent,latitude,longitude,"city",country,city_agent,has_weapon,has_hat,has_jacket,behavior
Europe,2/05/2015,28/05/2015,Kyle Washington,Leslie Anderson,53.00974,-3.05814,"Rhosllanerchrugog",GB,London,FALSE,TRUE,TRUE,sad
Europe,12/03/2013,2/04/2013,Manuel Tate,Natalie Jordan,37.08819,-8.2503,"Albufeira",PT,Lisbon,FALSE,FALSE,FALSE,fleeing
Europe,7/02/1987,16/03/1987,Daniel Roberts,Susan Thomas,48.46458,9.22796,"Pfullingen",DE,Berlin,FALSE,TRUE,TRUE,lonely
Europe,21/04/2006,29/04/2006,Rachel Gregory,Richard Reyes,48.90472,2.2469,"La Garenne-Colombes",FR,Paris,FALSE,TRUE,TRUE,evasive
Europe,11/10/2004,1/11/2004,James Reed,Meredith Gibbs,46.32313,-0.45877,"Niort",FR,Paris,FALSE,TRUE,TRUE,sad
Europe,31/03/2022,2/05/2022,Randy Stokes,Ashley Taylor,48.86667,2.08333,"Marly-le-Roi",FR,Paris,FALSE,TRUE,FALSE,paranoid
Europe,3/03/1992,30/03/1992,David Cisneros,Lauren Mccoy,39.59611,27.02444,"Edremit",TR,Istanbul,TRUE,TRUE,TRUE,worried
Europe,12/05/2005,9/07/2005,Ashley Walker,Ray Hall,51.20219,7.36027,"Radevormwald",DE,Berlin,FALSE,TRUE,TRUE,tense
Europe,7/01/1993,31/01/1993,Laura Brown,Brooke Crawford,53.93361,37.92792,"Kireyevsk",RU,Moscow,FALSE,FALSE,FALSE,unhappy
Europe,4/11/1994,29/12/1994,Melanie Graves,Steven Edwards,40.98894,28.67582,"Yakuplu",TR,Istanbul,TRUE,TRUE,TRUE,tense
Europe,6/10/2015,25/10/2015,Donna Hamilton,Kendra Mercado,51.95838,4.47124,"Schiebroek",NL,Amsterdam,FALSE,TRUE,TRUE,lonely
Europe,23/12/1990,13/02/1991,Dr. Eugene Carlson MD,Kendra Miller,51.95838,4.47124,"Schiebroek",NL,Amsterdam,FALSE,FALSE,TRUE,unhappy
Europe,4/07/1995,7/07/1995,Benjamin Andrews,Kelly Lindsey,41.20485,-8.33147,"Paredes",PT,Lisbon,FALSE,FALSE,TRUE,out-of-control
Europe,1/01/2004,22/02/2004,Scott Stone,Mr. Frederick Bryant,60.02427,30.28491,"Kolomyagi",RU,Moscow,FALSE,TRUE,TRUE,scared
Europe,17/10/1989,14/11/1989,Elizabeth Butler,Wesley Horton,50.79205,-1.08593,"Southsea",GB,London,FALSE,TRUE,TRUE,paranoid
Europe,29/12/2018,2/01/2019,Amy Gonzales,Jane Hall,53.0233,-1.48119,"Belper",GB,London,FALSE,TRUE,TRUE,evasive
Europe,16/05/2001,10/07/2001,Jesse Hoffman,Angel Payne,45.78071,12.84052,"Portogruaro",IT,Rome,FALSE,TRUE,TRUE,out-of-control
Europe,2/03/2011,20/03/2011,Joseph Thompson,Sherry Aguilar,50.80019,7.20769,"Siegburg",DE,Berlin,FALSE,TRUE,TRUE,evasive
Europe,28/12/2013,26/01/2014,Todd Rivera,Adam Smith,50.82709,6.9747,"Wesseling",DE,Berlin,TRUE,TRUE,TRUE,sad
Europe,13/09/2004,27/09/2004,Phillip Jenkins,Dana Parker,51.30001,13.10984,"Oschatz",DE,Berlin,FALSE,FALSE,FALSE,scared
Europe,18/11/1996,7/12/1996,Danielle Castro,Teresa Diaz,48.43174,17.8031,"Hlohovec",SK,Bratislava,FALSE,FALSE,TRUE,hostile
Europe,27/04/1985,20/05/1985,Perry Mcclain,Andrea Watkins,48.8449,17.22635,"Skalica",SK,Bratislava,FALSE,TRUE,TRUE,tense
Europe,27/11/2017,23/12/2017,Tanner Beck,Julie Nguyen,61.72744,17.10558,"Hudiksvall",SE,Stockholm,FALSE,FALSE,TRUE,unhappy
Europe,12/11/2000,29/11/2000,Scott Hunt,Bryce Alvarado,44.31771,9.32241,"Chiavari",IT,Rome,FALSE,FALSE,TRUE,confessing
Europe,12/11/1991,17/12/1991,Andrew Davis,Nicole Hinton,48.98693,2.44892,"Gonesse",FR,Paris,FALSE,FALSE,TRUE,complaining
Europe,23/05/2020,24/05/2020,Anthony Gomez,David Simmons,60.18427,24.95034,"Kallio",FI,Helsinki,TRUE,TRUE,FALSE,evasive
Europe,13/05/1995,13/05/1995,Helen Diaz,Tiffany Morrison,61.78491,34.34691,"Petrozavodsk",RU,Moscow,FALSE,FALSE,TRUE,unhappy
Europe,10/09/1997,12/10/1997,Michael White,Jason Berg,37.35813,-6.03731,"San Juan de Aznalfarache",ES,Madrid,FALSE,FALSE,TRUE,silent
Europe,10/01/1991,4/03/1991,Daniel Ingram,Matthew Chavez,46.32313,-0.45877,"Niort",FR,Paris,FALSE,TRUE,TRUE,unhappy
Europe,28/02/1987,24/04/1987,Samuel Davis,Frank Gutierrez,53.63333,9.85,"Halstenbek",DE,Berlin,FALSE,TRUE,TRUE,scared
Europe,20/01/2018,26/02/2018,Laura Montoya,Larry Wiggins,53.43333,-7.95,"Athlone",IE,Dublin,FALSE,TRUE,TRUE,worried
Europe,17/06/2016,13/08/2016,Brandon Pearson,Amanda Brown,50.88506,4.07601,"Denderleeuw",BE,Brussels,FALSE,FALSE,TRUE,evasive
Europe,9/05/2007,18/05/2007,Emily Thomas,Glen Walker,54.8421,46.5813,"Alatyr’",RU,Moscow,FALSE,TRUE,TRUE,paranoid
Europe,20/09/2020,23/10/2020,Kevin White,Julia Cannon,40.87329,14.43865,"Somma Vesuviana",IT,Rome,FALSE,FALSE,TRUE,worried
Europe,8/11/1990,14/12/1990,William Lee,Monica Davis,54.58048,16.86194,"Ustka",PL,Warsaw,FALSE,FALSE,TRUE,happy
Europe,2/05/1989,23/06/1989,Tyler Massey,Tiffany Morrison,50.18545,27.06365,"Shepetivka",UA,Kiev,FALSE,FALSE,TRUE,silent
Europe,14/03/1999,16/04/1999,Michael Booth,Brett Wood,53.38333,-0.76667,"Gainsborough",GB,London,FALSE,TRUE,TRUE,happy
Europe,12/02/2006,6/03/2006,Ronald Carson,Susan Bowers,55.39485,43.83992,"Arzamas",RU,Moscow,FALSE,TRUE,TRUE,accusatory
Europe,30/08/1993,1/09/1993,Lori Lynch,Timothy Frank,41.57439,24.71204,"Smolyan",BG,Sofia,TRUE,FALSE,TRUE,over-complimenting
Europe,24/08/1987,1/09/1987,Joseph Brewer,Denise Park,50.74497,3.20639,"Mouscron",BE,Brussels,FALSE,TRUE,TRUE,over-complimenting
Europe,30/05/2014,4/07/2014,Cheryl Duncan,Rachel Barnes,43.71032,-1.05366,"Dax",FR,Paris,FALSE,TRUE,TRUE,insulting
Europe,22/12/1996,2/02/1997,Deborah Klein,Jessica Rogers,48.77275,5.16108,"Bar-le-Duc",FR,Paris,FALSE,TRUE,TRUE,panicking
Europe,17/09/2013,25/10/2013,Justin Bishop,Jacob Salazar,45.69558,4.7934,"Saint-Genis-Laval",FR,Paris,FALSE,TRUE,TRUE,hostile
Europe,19/04/1994,26/04/1994,Nicole Green,Sue Norman DVM,48.28259,9.72749,"Ehingen",DE,Berlin,FALSE,TRUE,TRUE,tense
Europe,11/12/1990,4/01/1991,Paul Gonzalez,Nicole Scott,51.12794,4.21372,"Temse",BE,Brussels,FALSE,TRUE,TRUE,worried
Europe,19/09/2006,1/10/2006,Patrick Silva,Kelly Barnes,48.77275,5.16108,"Bar-le-Duc",FR,Paris,FALSE,FALSE,TRUE,worried
Europe,3/12/2021,19/01/2022,Melissa Joseph,Christina Ball,40.98894,28.67582,"Yakuplu",TR,Istanbul,FALSE,FALSE,TRUE,talkative
Europe,14/01/2005,9/03/2005,Matthew Jennings,Anthony Harris,57.97472,33.2525,"Valday",RU,Moscow,FALSE,TRUE,TRUE,evasive
Europe,21/06/1996,16/07/1996,David Frost,Anna Flores,37.51803,15.00913,"Misterbianco",IT,Rome,FALSE,FALSE,FALSE,over-complimenting
Europe,30/10/2001,13/12/2001,Glenn Martinez,Jeffrey Bush,54.60528,18.34717,"Reda",PL,Warsaw,FALSE,FALSE,TRUE,scared
Europe,3/11/1990,29/12/1990,Scott Campbell,Brandy Mendez,50.8,3.16667,"Wevelgem",BE,Brussels,FALSE,FALSE,TRUE,unhappy
Europe,23/04/2015,12/06/2015,Sandra Smith,Alexis Conway PhD,45.53069,9.40531,"Gorgonzola",IT,Rome,FALSE,FALSE,TRUE,injured
Europe,20/08/2017,4/10/2017,Nathan Wright,Courtney Thompson,60.2052,24.6522,"Espoo",FI,Helsinki,FALSE,TRUE,TRUE,confessing
Europe,8/01/2012,30/01/2012,Dennis Gilbert,Kimberly Stewart,48.46458,9.22796,"Pfullingen",DE,Berlin,TRUE,FALSE,TRUE,worried
Europe,7/03/2002,11/03/2002,Elizabeth Sanders,William Wood,48.35693,10.98461,"Friedberg",DE,Berlin,TRUE,FALSE,TRUE,paranoid
