region,date_witness,date_agent,witness,agent,latitude,longitude,city,country,city_agent,has_weapon,has_hat,has_jacket,behavior
India,25/02/1998,6/03/1998,Jill Patrick,Rita Johnson,-20.88231,55.4504,Saint-Denis,RE,Reunion,FALSE,FALSE,TRUE,accusatory
India,16/02/1988,22/03/1988,Melissa Graham,Stephen Ferguson,-21.15,46.58333,Ikalamavony,MG,Antananarivo,FALSE,FALSE,TRUE,friendly
India,5/12/1998,4/01/1999,Christopher Vincent,Frank Gutierrez,-20.88231,55.4504,Saint-Denis,RE,Reunion,FALSE,TRUE,TRUE,fleeing
India,7/03/1991,1/04/1991,William Sellers,Ashley Taylor,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,FALSE,TRUE,TRUE,fleeing
India,29/01/2007,11/02/2007,Terri Taylor,Nicole Rogers,-20.88231,55.4504,Saint-Denis,RE,Reunion,FALSE,TRUE,TRUE,fleeing
India,4/06/1985,6/07/1985,Brandy Randolph,Tammy Bruce,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,FALSE,TRUE,TRUE,talkative
India,19/09/1991,14/11/1991,Steve Nelson,Kathleen Hicks,-21.15,46.58333,Ikalamavony,MG,Antananarivo,FALSE,TRUE,FALSE,complaining
India,20/08/2015,4/10/2015,David Brown,Kathryn Martin,-19.65,47.31667,Antanifotsy,MG,Antananarivo,FALSE,TRUE,TRUE,insulting
India,19/05/1989,28/05/1989,Kathleen Conrad,Todd Robinson,-20.88231,55.4504,Saint-Denis,RE,Reunion,FALSE,TRUE,TRUE,silent
India,14/07/2004,25/08/2004,James Marshall,Stephanie Taylor,-21.15,46.58333,Ikalamavony,MG,Antananarivo,FALSE,TRUE,TRUE,silent
India,25/11/2014,13/12/2014,Stacy Beasley,Denise Park,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,FALSE,TRUE,TRUE,unhappy
India,25/11/1985,23/01/1986,Christopher Gay,Adam Montes,-19.65,47.31667,Antanifotsy,MG,Antananarivo,FALSE,TRUE,TRUE,unhappy
India,18/02/2020,3/03/2020,Janice Duncan,Erin Ray,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,FALSE,TRUE,TRUE,happy
India,17/05/2020,27/05/2020,Patrick Johnson,Victor Tapia,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,FALSE,TRUE,TRUE,insulting
India,7/01/2017,16/01/2017,John Barton,Ashley Vaughn,-21.15,46.58333,Ikalamavony,MG,Antananarivo,FALSE,TRUE,TRUE,talkative
India,28/05/2020,19/07/2020,Elizabeth Martin,Hannah Lindsey,-22.9,44.53333,Sakaraha,MG,Antananarivo,FALSE,FALSE,TRUE,sad
India,7/06/1993,25/06/1993,Brittany Larson,Edward Hernandez,-21.15,46.58333,Ikalamavony,MG,Antananarivo,FALSE,FALSE,TRUE,scared
India,11/06/2021,2/07/2021,Mark Owens,Adam Irwin,-22.9,44.53333,Sakaraha,MG,Antananarivo,FALSE,TRUE,TRUE,hostile
India,9/12/2009,30/12/2009,Sarah Riley,Sarah Brown,-19.65,47.31667,Antanifotsy,MG,Antananarivo,FALSE,TRUE,TRUE,complaining
India,9/07/2008,27/08/2008,Patricia Kim,Brian Hickman,-22.9,44.53333,Sakaraha,MG,Antananarivo,TRUE,FALSE,TRUE,silent
India,12/11/2019,20/12/2019,Amy Vega,Gerald Green,-19.65,47.31667,Antanifotsy,MG,Antananarivo,FALSE,TRUE,TRUE,talkative
India,15/08/2010,4/09/2010,Ricky Gray,Mary Scott,-22.9,44.53333,Sakaraha,MG,Antananarivo,FALSE,TRUE,TRUE,happy
India,27/06/2002,17/07/2002,Kristy Wilson,Tracy Blackwell,-21.15,46.58333,Ikalamavony,MG,Antananarivo,FALSE,TRUE,TRUE,tense
