region,date_witness,date_agent,witness,agent,latitude,longitude,city,country,city_agent,has_weapon,has_hat,has_jacket,behavior
Pacific,30/10/1992,25/11/1992,Justin Hernandez,Lauren Mccoy,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,over-complimenting
Pacific,21/01/1999,3/03/1999,Anna Huynh,Lori Lowery,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,FALSE,TRUE,evasive
Pacific,30/10/2011,4/11/2011,Susan Duran,James Williams,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,FALSE,TRUE,scared
Pacific,28/12/2004,30/01/2005,Andrea Randall,Jeremy Moran,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,tense
Pacific,20/11/1993,24/12/1993,Debra Morris,Patricia Miller,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,panicking
Pacific,3/11/2008,17/11/2008,Steven Hudson,Chad Chandler,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,panicking
Pacific,12/08/2013,16/09/2013,Alexander Lee,Anthony Hamilton,-17.73648,168.31366,Port-Vila,VU,Efate,TRUE,FALSE,TRUE,over-complimenting
Pacific,21/10/2017,27/10/2017,Emma Newman,Shawn Ramirez,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,lonely
Pacific,1/05/2012,23/05/2012,Frank Cooper,Taylor Robinson,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,FALSE,FALSE,complaining
Pacific,21/10/2000,10/12/2000,Stacy Montgomery,Kristin Werner,20.88953,-156.47432,Kahului,US,Honolulu,TRUE,TRUE,TRUE,lonely
Pacific,12/07/2015,5/08/2015,Joseph White,Joseph Moore DVM,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,FALSE,TRUE,over-complimenting
Pacific,27/06/1995,18/08/1995,Kelly Miller,Stacey Morris,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,TRUE,TRUE,accusatory
Pacific,29/04/2021,25/05/2021,Elizabeth Frost,Christopher Ross,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,FALSE,FALSE,friendly
Pacific,11/09/2006,12/10/2006,Alice Wright,Chad Chandler,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,FALSE,TRUE,paranoid
Pacific,27/03/1997,4/05/1997,Jacob Osborne,Julia Reynolds,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,TRUE,TRUE,tense
Pacific,28/10/2009,8/11/2009,Daniel Turner,Lauren Smith,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,FALSE,TRUE,silent
Pacific,21/06/1998,6/08/1998,George Johnson,Maurice Mccarthy,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,scared
Pacific,12/01/1990,17/02/1990,Sarah Johnson,Mr. James Hooper,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,FALSE,TRUE,sad
Pacific,11/12/1994,12/01/1995,Karen Morris,Kayla Klein,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,tense
Pacific,26/08/2018,12/10/2018,Manuel Smith,Brandy White,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,FALSE,TRUE,panicking
Pacific,6/02/2004,24/03/2004,Melanie Young,Stephanie Brooks,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,over-complimenting
Pacific,5/10/2006,18/10/2006,Kevin Meadows,Patricia Hall,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,hostile
Pacific,22/01/2014,22/01/2014,John Tran,Elizabeth Cooper,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,TRUE,TRUE,paranoid
Pacific,6/11/1987,5/12/1987,Alicia Bryant,Phillip Quinn,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,unhappy
Pacific,20/08/1998,18/09/1998,Linda Santana,Eugene Brown,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,TRUE,TRUE,panicking
Pacific,14/11/1994,10/12/1994,John Gonzalez,Brandy White,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,FALSE,TRUE,paranoid
Pacific,9/12/2008,3/02/2009,Misty Rodriguez,Christopher Morrison,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,TRUE,TRUE,insulting
Pacific,23/01/1998,13/02/1998,Andrew Johnson,Jacob Carlson,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,FALSE,TRUE,insulting
Pacific,13/03/2003,2/04/2003,Elijah Frazier,William Barton,-38.65333,178.00417,Gisborne,NZ,Auckland,TRUE,FALSE,TRUE,scared
Pacific,29/09/2013,11/10/2013,Angela Scott,Bryce Alvarado,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,TRUE,TRUE,complaining
Pacific,21/05/2003,21/06/2003,Angelica Baker,Michael Tate,20.88953,-156.47432,Kahului,US,Honolulu,TRUE,TRUE,TRUE,lonely
Pacific,11/01/1986,25/01/1986,Ann Irwin,Patricia Miller,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,unhappy
Pacific,12/03/1987,24/03/1987,Lindsey Walker,Julian Anderson,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,FALSE,TRUE,injured
Pacific,7/03/1996,5/04/1996,Jennifer Acosta,Joshua Reed,-38.65333,178.00417,Gisborne,NZ,Auckland,TRUE,TRUE,TRUE,unhappy
Pacific,30/10/1996,12/11/1996,Patrick Walker,Micheal Thomas,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,FALSE,TRUE,worried
Pacific,12/05/2004,4/07/2004,Shane Melton,Christina Krause,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,scared
Pacific,24/10/2020,26/10/2020,Amanda Mcintosh,Katelyn Cook,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,hostile
Pacific,31/08/2011,8/09/2011,Maurice Diaz,Thomas Hamilton,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,out-of-control
Pacific,7/03/2006,28/03/2006,Raymond Jenkins,Ray Hall,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,FALSE,TRUE,paranoid
Pacific,22/09/1985,15/10/1985,Michael Bell,Evelyn Hines,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,silent
Pacific,28/09/2012,13/10/2012,Louis Snyder,Patricia Edwards,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,FALSE,FALSE,fleeing
Pacific,20/11/2007,30/12/2007,Michael Mitchell,Michael Webb,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,FALSE,TRUE,paranoid
Pacific,5/01/2005,6/01/2005,Brendan Bryant,Kendra Mercado,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,unhappy
Pacific,27/03/2015,15/05/2015,Lisa Schneider,Dominic Peters,-38.65333,178.00417,Gisborne,NZ,Auckland,FALSE,TRUE,TRUE,friendly
Pacific,24/08/1989,16/10/1989,Matthew Harrison,Stephen Mills,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,TRUE,TRUE,unhappy
Pacific,3/10/1995,14/11/1995,Lauren Young,Thomas Hamilton,20.88953,-156.47432,Kahului,US,Honolulu,TRUE,TRUE,TRUE,panicking
Pacific,31/05/1985,29/07/1985,Rebecca Brown,Bradley Ewing,-17.73648,168.31366,Port-Vila,VU,Efate,TRUE,TRUE,TRUE,insulting
Pacific,7/08/1994,26/09/1994,Barbara Williams,Kimberly Woods,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,FALSE,TRUE,sad
Pacific,2/03/2001,12/04/2001,Michael Brown,Latasha Norris,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,insulting
Pacific,22/12/1988,10/02/1989,Ronald Mejia,Brandi Jones,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,scared
Pacific,30/07/1994,8/08/1994,Elizabeth Morris,Gordon Jimenez,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,unhappy
Pacific,12/12/1990,26/12/1990,John Sullivan,Christopher Miller,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,silent
Pacific,11/03/2006,10/04/2006,Erik Turner,Mr. Rodney Franco,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,tense
Pacific,14/05/2013,4/06/2013,Debbie Lambert,Misty Marshall,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,FALSE,TRUE,scared
Pacific,1/04/1989,4/05/1989,Mitchell Mcbride,Kelly Barnes,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,TRUE,TRUE,TRUE,friendly
Pacific,29/04/2015,19/06/2015,Richard James,Patricia Miller,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,sad
Pacific,19/01/2001,18/02/2001,Kenneth Taylor,Kimberly Cooper,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,TRUE,TRUE,happy
Pacific,28/01/2020,18/02/2020,Taylor Kelley,Janice Carroll,-17.73648,168.31366,Port-Vila,VU,Efate,FALSE,TRUE,TRUE,sad
Pacific,25/11/1987,11/01/1988,David Bean,Joshua Moore,-44.39672,171.25364,Timaru,NZ,Auckland,TRUE,TRUE,TRUE,unhappy
Pacific,2/04/1999,27/04/1999,Deborah Lopez,James Kennedy,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,FALSE,TRUE,injured
Pacific,15/06/2015,6/08/2015,Nicole Cruz,Donna Martin,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,TRUE,TRUE,injured
Pacific,6/08/1992,14/08/1992,Travis Hudson,Angelica Chan,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,FALSE,TRUE,scared
Pacific,8/05/2007,8/05/2007,Anita Murray,Charles Walls,20.88953,-156.47432,Kahului,US,Honolulu,FALSE,FALSE,TRUE,complaining
Pacific,29/11/1985,29/11/1985,Alice Nelson,Kaitlyn Johns,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,TRUE,TRUE,over-complimenting
Pacific,4/02/2012,22/03/2012,Amanda Navarro,Christopher Morris,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,FALSE,TRUE,TRUE,oblivious
Pacific,27/10/1999,25/12/1999,Kimberly Navarro,John Carlson,-44.39672,171.25364,Timaru,NZ,Auckland,FALSE,FALSE,TRUE,unhappy
